,example_id,sentence,sentence_label,left_tree,left_label,right_tree,right_label
505,00506,There 's plenty to enjoy -- in no small part thanks to Lau .,positive,There,neutral,'s plenty to enjoy -- in no small part thanks to Lau .,positive
506,00507,"With a romantic comedy plotline straight from the ages , this Cinderella story does n't have a single surprise up its sleeve .",negative,With a romantic comedy plotline straight from the ages,positive,", this Cinderella story does n't have a single surprise up its sleeve .",negative
507,00508,But it does somehow manage to get you under its spell .,positive,But,neutral,it does somehow manage to get you under its spell .,positive
508,00509,"Though few will argue that it ranks with the best of Herzog 's works , Invincible shows he 's back in form , with an astoundingly rich film .",positive,Though few will argue that it ranks with the best of Herzog 's works,positive,", Invincible shows he 's back in form , with an astoundingly rich film .",positive
509,00510,"`` Catch Me '' feels capable of charming the masses with star power , a pop-induced score and sentimental moments that have become a Spielberg trademark .",positive,``,neutral,"Catch Me '' feels capable of charming the masses with star power , a pop-induced score and sentimental moments that have become a Spielberg trademark .",positive
510,00511,"By no means a great movie , but it is a refreshingly forthright one .",positive,By no,neutral,"means a great movie , but it is a refreshingly forthright one .",positive
511,00512,The casting of Raymond J. Barry as the ` assassin ' greatly enhances the quality of Neil Burger 's impressive fake documentary .,positive,The casting of Raymond J. Barry as the ` assassin ',neutral,greatly enhances the quality of Neil Burger 's impressive fake documentary .,positive
512,00513,"Despite Besson 's high-profile name being Wasabi 's big selling point , there is no doubt that Krawczyk deserves a huge amount of the credit for the film 's thoroughly winning tone .",positive,Despite Besson 's high-profile name being Wasabi 's big selling point,neutral,", there is no doubt that Krawczyk deserves a huge amount of the credit for the film 's thoroughly winning tone .",positive
513,00514,"This documentary is a dazzling , remarkably unpretentious reminder of what -LRB- Evans -RRB- had , lost , and got back .",positive,This documentary,neutral,"is a dazzling , remarkably unpretentious reminder of what -LRB- Evans -RRB- had , lost , and got back .",positive
514,00515,"A thoughtful movie , a movie that is concerned with souls and risk and schemes and the consequences of one 's actions .",positive,"A thoughtful movie , a movie that is concerned with souls and risk and schemes and the consequences of one 's actions",neutral,.,neutral
515,00516,"As satisfyingly odd and intriguing a tale as it was a century and a half ago ... has a delightfully dour , deadpan tone and stylistic consistency .",positive,As satisfyingly odd and intriguing a tale as it was a century and a half ago,positive,"... has a delightfully dour , deadpan tone and stylistic consistency .",neutral
516,00517,"Methodical , measured , and gently tedious in its comedy , Secret Ballot is a purposefully reductive movie -- which may be why it 's so successful at lodging itself in the brain .",positive,"Methodical , measured , and gently tedious in its comedy",neutral,", Secret Ballot is a purposefully reductive movie -- which may be why it 's so successful at lodging itself in the brain .",positive
517,00518,"A witty , trenchant , wildly unsentimental but flawed look at the ins and outs of modern moviemaking .",neutral,"A witty , trenchant , wildly unsentimental but flawed",negative,look at the ins and outs of modern moviemaking .,neutral
518,00519,For most of the distance the picture provides a satisfyingly unsettling ride into the dark places of our national psyche .,positive,For most of the distance,neutral,the picture provides a satisfyingly unsettling ride into the dark places of our national psyche .,positive
519,00520,"By the standards of knucklehead swill , The Hot Chick is pretty damned funny .",positive,By the standards of knucklehead swill,negative,", The Hot Chick is pretty damned funny .",positive
520,00521,One of the most gloriously unsubtle and adrenalized extreme shockers since The Evil Dead .,positive,One of the most gloriously unsubtle and adrenalized extreme,positive,shockers since The Evil Dead .,neutral
521,00522,-LRB- Reaches -RRB- wholly believable and heart-wrenching depths of despair .,positive,-LRB- Reaches -RRB- wholly believable and heart-wrenching depths of despair,positive,.,neutral
522,00523,An absorbing and unsettling psychological drama .,positive,An absorbing and unsettling psychological drama,neutral,.,neutral
523,00524,"This movie may not have the highest production values you 've ever seen , but it 's the work of an artist , one whose view of America , history and the awkwardness of human life is generous and deep .",positive,"This movie may not have the highest production values you 've ever seen , but it 's the work of an artist , one whose view of America , history and the awkwardness of human life is generous and deep",positive,.,neutral
524,00525,"Though it 's not very well shot or composed or edited , the score is too insistent and the dialogue is frequently overwrought and crudely literal , the film shatters you in waves .",negative,"Though it 's not very well shot or composed or edited , the score is too insistent and the dialogue is frequently overwrought and crudely literal",negative,", the film shatters you in waves .",positive
525,00526,The entire cast is extraordinarily good .,positive,The entire cast,neutral,is extraordinarily good .,positive
526,00527,"Yakusho , as always , is wonderful as the long-faced sad sack ... and his chemistry with Shimizu is very believable .",positive,"Yakusho , as always , is wonderful as the long-faced sad sack ... and his chemistry with Shimizu is very believable",positive,.,neutral
527,00528,"Young Hanks and Fisk , who vaguely resemble their celebrity parents , bring fresh good looks and an ease in front of the camera to the work .",positive,"Young Hanks and Fisk , who vaguely resemble their celebrity parents ,",neutral,bring fresh good looks and an ease in front of the camera to the work .,positive
528,00529,"A captivatingly quirky hybrid of character portrait , romantic comedy and beat-the-clock thriller .",positive,"A captivatingly quirky hybrid of character portrait , romantic comedy and beat-the-clock thriller",positive,.,neutral
529,00530,The film sparkles with the the wisdom and humor of its subjects .,positive,The film,neutral,sparkles with the the wisdom and humor of its subjects .,positive
530,00531,"If -LRB- Jaglom 's -RRB- latest effort is not the director at his most sparkling , some of its repartee is still worth hearing .",positive,If -LRB- Jaglom 's -RRB- latest effort is not the director at his most sparkling,neutral,", some of its repartee is still worth hearing .",neutral
531,00532,"Like The English Patient and The Unbearable Lightness of Being , The Hours is one of those reputedly `` unfilmable '' novels that has bucked the odds to emerge as an exquisite motion picture in its own right .",positive,Like The English Patient and The Unbearable Lightness of Being,positive,", The Hours is one of those reputedly `` unfilmable '' novels that has bucked the odds to emerge as an exquisite motion picture in its own right .",positive
532,00533,"Just about the best straight-up , old-school horror film of the last 15 years .",positive,"Just about the best straight-up , old-school horror film of the last 15 years",positive,.,neutral
533,00534,A chilling tale of one of the great crimes of 20th Century France : the murder of two rich women by their servants in 1933 .,positive,A chilling tale of one of the great crimes of 20th Century France : the murder of two rich women by their servants in 1933,positive,.,neutral
534,00535,"An oddity , to be sure , but one that you might wind up remembering with a degree of affection rather than revulsion .",positive,"An oddity , to be sure , but one that you might wind up remembering with a degree of affection rather than revulsion",positive,.,neutral
535,00536,"While the film is not entirely successful , it still manages to string together enough charming moments to work .",positive,While the film is not entirely successful,negative,", it still manages to string together enough charming moments to work .",positive
536,00537,A winning piece of work filled with love for the movies of the 1960s .,positive,A winning piece of work,positive,filled with love for the movies of the 1960s .,positive
537,00538,"E.T. works because its flabbergasting principals , 14-year-old Robert MacNaughton , 6-year-old Drew Barrymore and 10-year-old Henry Thomas , convince us of the existence of the wise , wizened visitor from a faraway planet .",positive,E.T.,neutral,"works because its flabbergasting principals , 14-year-old Robert MacNaughton , 6-year-old Drew Barrymore and 10-year-old Henry Thomas , convince us of the existence of the wise , wizened visitor from a faraway planet .",neutral
538,00539,Helps to remind the First World that HIV\/AIDS is far from being yesterday 's news .,neutral,Helps to remind the First World that HIV\/AIDS is far from being yesterday 's news,neutral,.,neutral
539,00540,A heartening tale of small victories and enduring hope .,positive,A heartening tale of small victories and enduring,positive,hope .,neutral
540,00541,The vistas are sweeping and the acting is far from painful .,neutral,The vistas are sweeping and the acting is far from painful,positive,.,neutral
541,00542,Jackson and co have brought back the value and respect for the term epic cinema .,positive,Jackson and co,neutral,have brought back the value and respect for the term epic cinema .,positive
542,00543,"It may be a somewhat backhanded compliment to say that the film makes the viewer feel like the movie 's various victimized audience members after a while , but it also happens to be the movie 's most admirable quality",positive,It,neutral,"may be a somewhat backhanded compliment to say that the film makes the viewer feel like the movie 's various victimized audience members after a while , but it also happens to be the movie 's most admirable quality",neutral
543,00544,Charlotte Sometimes is a brilliant movie .,positive,Charlotte,neutral,Sometimes is a brilliant movie .,positive
544,00545,"It is about irrational , unexplainable life and it seems so real because it does not attempt to filter out the complexity .",positive,"It is about irrational , unexplainable life and it seems so real because it does not attempt to filter out the complexity",positive,.,neutral
545,00546,"A delightful stimulus for the optic nerves , so much that it 's forgivable that the plot feels like every other tale of a totalitarian tomorrow .",positive,A delightful stimulus for the optic nerves,positive,", so much that it 's forgivable that the plot feels like every other tale of a totalitarian tomorrow .",neutral
546,00547,"Defies logic , the laws of physics and almost anyone 's willingness to believe in it .",neutral,"Defies logic , the laws of physics and almost anyone 's willingness to believe in it",neutral,.,neutral
547,00548,But darned if it does n't also keep us riveted to our seats .,positive,But,neutral,darned if it does n't also keep us riveted to our seats .,positive
548,00549,A complex psychological drama about a father who returns to his son 's home after decades away .,positive,A complex psychological drama about a father who returns to his son 's home after decades away,neutral,.,neutral
549,00550,Writer and director Otar Iosseliani 's pleasant tale about a factory worker who escapes for a holiday in Venice reveals how we all need a playful respite from the grind to refresh our souls .,positive,Writer and director Otar Iosseliani 's pleasant tale about a factory worker who escapes for a holiday in Venice,positive,reveals how we all need a playful respite from the grind to refresh our souls .,positive
550,00551,This is NOT a retread of `` Dead Poets ' Society . '',neutral,This,neutral,is NOT a retread of `` Dead Poets ' Society . '',neutral
551,00552,Sweet and memorable film .,positive,Sweet and memorable film,positive,.,neutral
552,00553,"A smart , arch and rather cold-blooded comedy .",positive,"A smart , arch and rather cold-blooded comedy",positive,.,neutral
553,00554,"Keenly observed and refreshingly natural , Swimming gets the details right , from its promenade of barely clad bodies in Myrtle Beach , S.C. , to the adrenaline jolt of a sudden lunch rush at the diner .",positive,Keenly observed and refreshingly natural,positive,", Swimming gets the details right , from its promenade of barely clad bodies in Myrtle Beach , S.C. , to the adrenaline jolt of a sudden lunch rush at the diner .",positive
554,00555,... begins on a high note and sustains it beautifully .,positive,...,neutral,begins on a high note and sustains it beautifully .,positive
555,00556,Davis ... gets vivid performances from her cast and pulls off some deft Ally McBeal-style fantasy sequences .,positive,Davis,positive,... gets vivid performances from her cast and pulls off some deft Ally McBeal-style fantasy sequences .,positive
556,00557,"` it 's better to go in knowing full well what 's going to happen , but willing to let the earnestness of its execution and skill of its cast take you down a familiar road with a few twists .",positive,`,neutral,"it 's better to go in knowing full well what 's going to happen , but willing to let the earnestness of its execution and skill of its cast take you down a familiar road with a few twists .",positive
557,00558,Cynics need not apply . ',neutral,Cynics,neutral,need not apply . ',neutral
558,00559,"Funny , somber , absurd , and , finally , achingly sad , Bartleby is a fine , understated piece of filmmaking .",positive,"Funny , somber , absurd , and , finally , achingly sad ,",positive,"Bartleby is a fine , understated piece of filmmaking .",positive
559,00560,`` Red Dragon '' is entertaining .,positive,``,neutral,Red Dragon '' is entertaining .,positive
560,00561,"An obvious copy of one of the best films ever made , how could it not be ?",negative,An obvious copy of one of the best films,neutral,"ever made , how could it not be ?",neutral
561,00562,But it is entertaining on an inferior level .,positive,But,neutral,it is entertaining on an inferior level .,negative
562,00563,"It is a popcorn film , not a must-own , or even a must-see .",negative,It,neutral,"is a popcorn film , not a must-own , or even a must-see .",negative
563,00564,Succeeds only because Bullock and Grant were made to share the silver screen .,neutral,Succeeds,positive,only because Bullock and Grant were made to share the silver screen .,positive
564,00565,"Both flawed and delayed , Martin Scorcese 's Gangs of New York still emerges as his most vital work since GoodFellas .",neutral,Both flawed and delayed,negative,", Martin Scorcese 's Gangs of New York still emerges as his most vital work since GoodFellas .",positive
565,00566,"As any creature-feature fan knows , when you cross toxic chemicals with a bunch of exotic creatures , you get a lot of running around , screaming and death .",neutral,"As any creature-feature fan knows , when you cross toxic chemicals with a bunch of exotic creatures",neutral,", you get a lot of running around , screaming and death .",neutral
566,00567,"On that score , the film certainly does n't disappoint .",positive,On that score,neutral,", the film certainly does n't disappoint .",positive
567,00568,"As the movie traces Mr. Brown 's athletic exploits , it is impossible not to be awed by the power and grace of one of the greatest natural sportsmen of modern times .",positive,As the movie traces Mr. Brown 's athletic exploits,neutral,", it is impossible not to be awed by the power and grace of one of the greatest natural sportsmen of modern times .",positive
568,00569,A moving and solidly entertaining comedy\/drama that should bolster director and co-writer Juan José Campanella 's reputation in the United States .,positive,A moving and solidly entertaining comedy\/drama that should bolster director and co-writer,positive,Juan José Campanella 's reputation in the United States .,neutral
569,00570,"Thanks to confident filmmaking and a pair of fascinating performances , the way to that destination is a really special walk in the woods .",positive,Thanks to confident filmmaking and a pair of fascinating performances,positive,", the way to that destination is a really special walk in the woods .",positive
570,00571,"Beautifully shot , delicately scored and powered by a set of heartfelt performances , it 's a lyrical endeavour .",positive,"Beautifully shot , delicately scored and powered by a set of heartfelt performances",positive,", it 's a lyrical endeavour .",positive
571,00572,A macabre and very stylized Swedish fillm about a modern city where all the religious and civic virtues that hold society in place are in tatters .,positive,A macabre and very,neutral,stylized Swedish fillm about a modern city where all the religious and civic virtues that hold society in place are in tatters .,positive
572,00573,A stylistic romp that 's always fun to watch .,positive,A stylistic,positive,romp that 's always fun to watch .,positive
573,00574,"Informative , intriguing , observant , often touching ... gives a human face to what 's often discussed in purely abstract terms .",positive,"Informative , intriguing , observant , often touching ...",positive,gives a human face to what 's often discussed in purely abstract terms .,positive
574,00575,"... once the true impact of the day unfolds , the power of this movie is undeniable .",positive,...,neutral,"once the true impact of the day unfolds , the power of this movie is undeniable .",positive
575,00576,"An honest , sensitive story from a Vietnamese point of view .",positive,"An honest , sensitive story from a Vietnamese point of view",positive,.,neutral
576,00577,"A buoyant romantic comedy about friendship , love , and the truth that we 're all in this together .",positive,"A buoyant romantic comedy about friendship , love , and the truth that we 're all in this together",positive,.,neutral
577,00578,The film 's intimate camera work and searing performances pull us deep into the girls ' confusion and pain as they struggle tragically to comprehend the chasm of knowledge that 's opened between them .,positive,The film 's intimate camera work and searing performances,positive,pull us deep into the girls ' confusion and pain as they struggle tragically to comprehend the chasm of knowledge that 's opened between them .,positive
578,00579,"It 's the perfect star vehicle for Grant , allowing him to finally move away from his usual bumbling , tongue-tied screen persona .",positive,It,neutral,"'s the perfect star vehicle for Grant , allowing him to finally move away from his usual bumbling , tongue-tied screen persona .",positive
579,00580,"Gaunt , silver-haired and leonine , -LRB- Harris -RRB- brings a tragic dimension and savage full-bodied wit and cunning to the aging Sandeman .",positive,"Gaunt , silver-haired and leonine , -LRB- Harris -RRB-",neutral,brings a tragic dimension and savage full-bodied wit and cunning to the aging Sandeman .,neutral
580,00581,A disturbing examination of what appears to be the definition of a ` bad ' police shooting .,neutral,A disturbing examination of what,neutral,appears to be the definition of a ` bad ' police shooting .,negative
581,00582,It 's been made with an innocent yet fervid conviction that our Hollywood has all but lost .,neutral,It,neutral,'s been made with an innocent yet fervid conviction that our Hollywood has all but lost .,neutral
582,00583,"Not only a reminder of how they used to make movies , but also how they sometimes still can be made .",positive,Not only,neutral,"a reminder of how they used to make movies , but also how they sometimes still can be made .",positive
583,00584,A three-hour cinema master class .,positive,A,neutral,three-hour cinema master class .,positive
584,00585,Eyre is on his way to becoming the American Indian Spike Lee .,positive,Eyre,neutral,is on his way to becoming the American Indian Spike Lee .,positive
585,00586,"A witty , whimsical feature debut .",positive,"A witty , whimsical feature debut",positive,.,neutral
586,00587,"Warm in its loving yet unforgivingly inconsistent depiction of everyday people , relaxed in its perfect quiet pace and proud in its message .",positive,Warm in its loving yet unforgivingly inconsistent depiction of everyday people,positive,", relaxed in its perfect quiet pace and proud in its message .",positive
587,00588,I loved this film .,positive,I,neutral,loved this film .,positive
588,00589,"It provides a grim , upsetting glimpse at the lives of some of the 1.2 million Palestinians who live in the crowded cities and refugee camps of Gaza .",neutral,It,neutral,"provides a grim , upsetting glimpse at the lives of some of the 1.2 million Palestinians who live in the crowded cities and refugee camps of Gaza .",neutral
589,00590,"Clint Eastwood 's Blood Work is a lot like a well-made PB & J sandwich : familiar , fairly uneventful and boasting no real surprises -- but still quite tasty and inviting all the same .",positive,Clint Eastwood 's Blood Work,neutral,"is a lot like a well-made PB & J sandwich : familiar , fairly uneventful and boasting no real surprises -- but still quite tasty and inviting all the same .",positive
590,00591,"A movie that will surely be profane , politically charged music to the ears of Cho 's fans .",positive,"A movie that will surely be profane , politically",neutral,charged music to the ears of Cho 's fans .,positive
591,00592,Much of this slick and sprightly CGI feature is sufficiently funny to amuse even the most resolutely unreligious parents who escort their little ones to megaplex screenings .,positive,Much of this slick and sprightly CGI feature,positive,is sufficiently funny to amuse even the most resolutely unreligious parents who escort their little ones to megaplex screenings .,positive
592,00593,"Rarely , a movie is more than a movie .",positive,Rarely,neutral,", a movie is more than a movie .",neutral
593,00594,Go .,neutral,Go,neutral,.,neutral
594,00595,Jacquot 's strategy allows his cast the benefit of being able to give full performances ... while demonstrating vividly that the beauty and power of the opera reside primarily in the music itself .,positive,Jacquot 's strategy,neutral,allows his cast the benefit of being able to give full performances ... while demonstrating vividly that the beauty and power of the opera reside primarily in the music itself .,positive
595,00596,"Quitting delivers a sucker-punch , and its impact is all the greater beause director Zhang 's last film , the cuddly Shower , was a non-threatening multi-character piece centered around a public bath house .",neutral,"Quitting delivers a sucker-punch , and its impact is all the greater beause director Zhang 's last film , the cuddly Shower , was a non-threatening multi-character piece centered around a public bath house",positive,.,neutral
596,00597,"By not averting his eyes , Solondz forces us to consider the unthinkable , the unacceptable , the unmentionable .",positive,By not averting his eyes,neutral,", Solondz forces us to consider the unthinkable , the unacceptable , the unmentionable .",neutral
597,00598,"One Hour Photo may seem disappointing in its generalities , but it 's the little nuances that perhaps had to escape from director Mark Romanek 's self-conscious scrutiny to happen , that finally get under your skin .",negative,"One Hour Photo may seem disappointing in its generalities , but it 's the little nuances that perhaps had to escape from director Mark Romanek 's self-conscious scrutiny to happen , that finally get under your skin",negative,.,neutral
598,00599,"While general audiences might not come away with a greater knowledge of the facts of Cuban music , they 'll be treated to an impressive and highly entertaining celebration of its sounds .",positive,While general audiences might not come away with a greater knowledge of the facts of Cuban music,neutral,", they 'll be treated to an impressive and highly entertaining celebration of its sounds .",positive
599,00600,A fascinating documentary that provides a rounded and revealing overview of this ancient holistic healing system,positive,A fascinating documentary,positive,that provides a rounded and revealing overview of this ancient holistic healing system,positive
600,00601,"Birthday Girl lucks out with Chaplin and Kidman , who are capable of anteing up some movie star charisma when they need it to sell us on this twisted love story , but who can also negotiate the movie 's darker turns .",positive,Birthday Girl,neutral,"lucks out with Chaplin and Kidman , who are capable of anteing up some movie star charisma when they need it to sell us on this twisted love story , but who can also negotiate the movie 's darker turns .",neutral
601,00602,An interesting look behind the scenes of Chicago-based rock group Wilco ...,positive,An interesting look behind the scenes of Chicago-based rock group Wilco,neutral,...,neutral
602,00603,Sharp edges and a deep vein of sadness run through its otherwise comic narrative .,positive,Sharp edges and a deep vein of sadness,positive,run through its otherwise comic narrative .,positive
603,00604,There 's lots of cool stuff packed into ESPN 's Ultimate X.,positive,There,neutral,'s lots of cool stuff packed into ESPN 's Ultimate X.,positive
604,00605,"Rock solid family fun out of the gates , extremely imaginative through out , but wanes in the middle",positive,"Rock solid family fun out of the gates , extremely imaginative through out",positive,", but wanes in the middle",negative
605,00606,The Ya-Ya 's have many secrets and one is - the books are better .,negative,The Ya-Ya 's have many secrets and one is - the books are better,negative,.,neutral
606,00607,Translating complex characters from novels to the big screen is an impossible task but they are true to the essence of what it is to be Ya-Ya .,positive,Translating complex characters from novels to the big screen is an impossible task but they are true to the essence of what it is to be Ya-Ya,positive,.,neutral
607,00608,"The touch is generally light enough and the performances , for the most part , credible .",positive,"The touch is generally light enough and the performances , for the most part , credible",positive,.,neutral
608,00609,"I liked About Schmidt a lot , but I have a feeling that I would have liked it much more if Harry & Tonto never existed .",positive,"I liked About Schmidt a lot , but I have a feeling that I would have liked it much more if Harry & Tonto never existed",positive,.,neutral
609,00610,Steers has an unexpectedly adamant streak of warm-blooded empathy for all his disparate Manhattan denizens -- especially the a \*\* holes .,neutral,Steers,neutral,has an unexpectedly adamant streak of warm-blooded empathy for all his disparate Manhattan denizens -- especially the a \*\* holes .,positive
610,00611,That Storytelling has value can not be denied .,positive,That Storytelling,neutral,has value can not be denied .,positive
611,00612,"Not even Solondz 's thirst for controversy , sketchy characters and immature provocations can fully succeed at cheapening it .",negative,Not even Solondz 's thirst for controversy,neutral,", sketchy characters and immature provocations can fully succeed at cheapening it .",negative
612,00613,"Once the downward spiral comes to pass , Auto Focus bears out as your typical junkie opera ...",negative,Once the downward spiral comes to pass,neutral,", Auto Focus bears out as your typical junkie opera ...",negative
613,00614,A knowing sense of humor and a lot of warmth ignite Son of the Bride .,positive,A knowing sense of humor and a lot of warmth,positive,ignite Son of the Bride .,neutral
614,00615,"A rich tale of our times , very well told with an appropriate minimum of means .",positive,A rich tale of our times,positive,", very well told with an appropriate minimum of means .",positive
615,00616,"The characters are complex and quirky , but entirely believable as the remarkable ensemble cast brings them to life .",positive,The characters,neutral,"are complex and quirky , but entirely believable as the remarkable ensemble cast brings them to life .",positive
616,00617,"In all fairness , I must report that the children of varying ages in my audience never coughed , fidgeted or romped up and down the aisles for bathroom breaks .",positive,In all fairness,positive,", I must report that the children of varying ages in my audience never coughed , fidgeted or romped up and down the aisles for bathroom breaks .",positive
617,00618,"As gory as the scenes of torture and self-mutilation may be , they are pitted against shimmering cinematography that lends the setting the ethereal beauty of an Asian landscape painting .",positive,As gory as the scenes of torture and self-mutilation may be,neutral,", they are pitted against shimmering cinematography that lends the setting the ethereal beauty of an Asian landscape painting .",positive
618,00619,"Efficient , suitably anonymous chiller .",positive,"Efficient , suitably anonymous chiller",positive,.,neutral
619,00620,"Gorgeous scenes , masterful performances , but the sickly sweet gender normative narrative left an acrid test in this gourmet 's mouth .",neutral,"Gorgeous scenes , masterful performances , but the sickly sweet gender normative narrative",positive,left an acrid test in this gourmet 's mouth .,negative
620,00621,The hot topics of the plot are relegated to the background -- a welcome step forward from the Sally Jesse Raphael atmosphere of films like Philadelphia and American Beauty .,positive,The hot topics of the plot,neutral,are relegated to the background -- a welcome step forward from the Sally Jesse Raphael atmosphere of films like Philadelphia and American Beauty .,positive
621,00622,"It 's usually a bad sign when directors abandon their scripts and go where the moment takes them , but Olympia , Wash. , based filmmakers Anne de Marcken and Marilyn Freeman did just that and it 's what makes their project so interesting .",positive,"It 's usually a bad sign when directors abandon their scripts and go where the moment takes them , but Olympia , Wash. , based filmmakers Anne de Marcken and Marilyn Freeman did just that and it 's what makes their project so interesting",positive,.,neutral
622,00623,"A memorable experience that , like many of his works , presents weighty issues colorfully wrapped up in his own idiosyncratic strain of kitschy goodwill .",positive,"A memorable experience that , like many of his works , presents weighty issues",positive,colorfully wrapped up in his own idiosyncratic strain of kitschy goodwill .,positive
623,00624,"Executed with such gentle but insistent sincerity , with such good humor and appreciation of the daily grind that only the most hardhearted Scrooge could fail to respond .",positive,"Executed with such gentle but insistent sincerity , with such good humor and appreciation of the daily grind that only the most hardhearted Scrooge could fail to respond",positive,.,neutral
624,00625,The gentle comic treatment of adolescent sturm und drang should please fans of Chris Fuhrman 's posthumously published cult novel .,positive,The gentle comic treatment of adolescent sturm und drang,positive,should please fans of Chris Fuhrman 's posthumously published cult novel .,positive
625,00626,Director Claude Chabrol has become the master of innuendo .,positive,Director Claude Chabrol,positive,has become the master of innuendo .,positive
626,00627,"It is not what you see , it is what you think you see .",neutral,It is not what you see,neutral,", it is what you think you see .",neutral
627,00628,"A deftly entertaining film , smartly played and smartly directed .",positive,A deftly entertaining film,positive,", smartly played and smartly directed .",positive
628,00629,A documentary to make the stones weep -- as shameful as it is scary .,negative,A documentary to make the stones weep -- as shameful as it,negative,is scary .,neutral
629,00630,I hope the movie is widely seen and debated with appropriate ferocity and thoughtfulness .,positive,I,neutral,hope the movie is widely seen and debated with appropriate ferocity and thoughtfulness .,neutral
630,00631,A thought-provoking look at how Western foreign policy - however well intentioned - can wreak havoc in other cultures .,neutral,A thought-provoking,neutral,look at how Western foreign policy - however well intentioned - can wreak havoc in other cultures .,neutral
631,00632,"Asks what truth can be discerned from non-firsthand experience , and specifically questions cinema 's capability for recording truth .",positive,"Asks what truth can be discerned from non-firsthand experience , and specifically",neutral,questions cinema 's capability for recording truth .,negative
632,00633,"The journey to the secret 's eventual discovery is a separate adventure , and thrill enough .",positive,"The journey to the secret 's eventual discovery is a separate adventure , and thrill enough",positive,.,neutral
633,00634,"A quiet , disquieting triumph .",positive,"A quiet , disquieting triumph",positive,.,neutral
634,00635,Darkly funny and frequently insightful .,positive,Darkly funny and frequently insightful,positive,.,neutral
635,00636,"... the tale of her passionate , tumultuous affair with Musset unfolds as Sand 's masculine persona , with its love of life and beauty , takes form .",positive,...,neutral,"the tale of her passionate , tumultuous affair with Musset unfolds as Sand 's masculine persona , with its love of life and beauty , takes form .",positive
636,00637,"If you want to see a train wreck that you ca n't look away from , then look no further , because here it is .",neutral,If you want to see a train wreck that you ca n't look away from,neutral,", then look no further , because here it is .",positive
637,00638,There 's so much to look at in Metropolis you hate to tear your eyes away from the images long enough to read the subtitles .,positive,There,neutral,'s so much to look at in Metropolis you hate to tear your eyes away from the images long enough to read the subtitles .,positive
638,00639,"The search for redemption makes for a touching love story , mainly because Blanchett and Ribisi compellingly tap into a spiritual aspect of their characters ' suffering .",positive,The search for redemption,neutral,"makes for a touching love story , mainly because Blanchett and Ribisi compellingly tap into a spiritual aspect of their characters ' suffering .",positive
639,00640,A film of ideas and wry comic mayhem .,positive,A film of ideas and wry comic mayhem,positive,.,neutral
640,00641,"At its worst the screenplay is callow , but at its best it is a young artist 's thoughtful consideration of fatherhood .",neutral,"At its worst the screenplay is callow , but at its best it is a young artist 's thoughtful consideration of fatherhood",neutral,.,neutral
641,00642,"A worthwhile documentary , whether you 're into rap or not , even if it may still leave you wanting more answers as the credits roll .",positive,"A worthwhile documentary , whether you 're into rap or not , even if it may still leave you wanting more answers as the credits",positive,roll .,neutral
642,00643,Fessenden 's narrative is just as much about the ownership and redefinition of myth as it is about a domestic unit finding their way to joy .,positive,Fessenden 's narrative,neutral,is just as much about the ownership and redefinition of myth as it is about a domestic unit finding their way to joy .,neutral
643,00644,That the film opens with maggots crawling on a dead dog is not an out of place metaphor .,negative,That the film opens with maggots crawling on a dead dog,negative,is not an out of place metaphor .,neutral
644,00645,"Stanley Kwan has directed not only one of the best gay love stories ever made , but one of the best love stories of any stripe .",positive,"Stanley Kwan has directed not only one of the best gay love stories ever made , but one of the best love stories of any stripe",positive,.,neutral
645,00646,"The concert footage is stirring , the recording sessions are intriguing , and -- on the way to striking a blow for artistic integrity -- this quality band may pick up new admirers .",positive,The concert footage is stirring,positive,", the recording sessions are intriguing , and -- on the way to striking a blow for artistic integrity -- this quality band may pick up new admirers .",positive
646,00647,Norton holds the film together .,neutral,Norton,neutral,holds the film together .,positive
647,00648,"-LRB- There 's -RRB- quite a bit of heart , as you would expect from the directors of The Little Mermaid and Aladdin .",positive,-LRB-,negative,"There 's -RRB- quite a bit of heart , as you would expect from the directors of The Little Mermaid and Aladdin .",positive
648,00649,You wo n't have any trouble getting kids to eat up these Veggies .,positive,You,neutral,wo n't have any trouble getting kids to eat up these Veggies .,positive
649,00650,A creaky staircase gothic .,neutral,A creaky,neutral,staircase gothic .,neutral
650,00651,"Enjoyably dumb , sweet , and intermittently hilarious -- if you 've a taste for the quirky , steal a glimpse .",positive,"Enjoyably dumb , sweet , and intermittently hilarious -- if you 've a taste for the quirky , steal a glimpse",positive,.,neutral
651,00652,A movie that sends you out of the theater feeling like you 've actually spent time living in another community .,positive,A movie that sends you out of the theater feeling,neutral,like you 've actually spent time living in another community .,neutral
652,00653,"Light-years ahead of paint-by-number American blockbusters like Pearl Harbor , at least artistically .",positive,Light-years,neutral,"ahead of paint-by-number American blockbusters like Pearl Harbor , at least artistically .",positive
653,00654,A fascinating documentary about the long and eventful spiritual journey of the guru who helped launch the New Age .,positive,A fascinating documentary about the long and eventful spiritual journey of the guru who helped,positive,launch the New Age .,neutral
654,00655,Isabelle Huppert excels as the enigmatic Mika and Anna Mouglalis is a stunning new young talent in one of Chabrol 's most intense psychological mysteries .,positive,Isabelle Huppert,neutral,excels as the enigmatic Mika and Anna Mouglalis is a stunning new young talent in one of Chabrol 's most intense psychological mysteries .,positive
